tensor(10.1400, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0904, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0027, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6791, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.8068, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.7111, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4510, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3217, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2812, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.0528, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.7890, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1876, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.7333, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8614, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2664, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1333, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.7995, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.8023, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6842, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.3792, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6431, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6549, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.2871, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3323, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.1815, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.2877, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5041, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.1252, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.9590, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2692, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2725, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.2501, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5572, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.0627, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1653, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4812, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.2000, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.5773, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4158, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.8505, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4970, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.0705, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4200, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2357, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.9905, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.8677, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9765, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6067, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1055, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8885, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.4891, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.5823, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1980, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.6525, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.4188, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.9051, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5486, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9394, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.0373, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5318, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6354, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4370, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2788, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5420, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.8467, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5497, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.1346, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.1101, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6292, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5577, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.7897, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.3232, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.6535, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.9952, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2108, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4067, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.6795, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.8854, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5350, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1403, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.5005, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.6072, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.2575, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.0159, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.2818, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.0611, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.8092, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.6193, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.5349, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6130, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4092, device='cuda:0', grad_fn=<MulBackward0>)
tensor(16.8013, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.1111, device='cuda:0', grad_fn=<MulBackward0>)
tensor(9.8466, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.5758, device='cuda:0', grad_fn=<MulBackward0>)
tensor(14.6186, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4068, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.1982, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.7698, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.7670, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.4077, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.0886, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9420, device='cuda:0', grad_fn=<MulBackward0>)
tensor(11.6094, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.1011, device='cuda:0', grad_fn=<MulBackward0>)
tensor(13.9074, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.4064, device='cuda:0', grad_fn=<MulBackward0>)
tensor(12.3597, device='cuda:0', grad_fn=<MulBackward0>)
tensor(15.1334, device='cuda:0', grad_fn=<MulBackward0>)
tensor(10.4811, device='cuda:0', grad_fn=<MulBackward0>)
